source	anchor	sha256	disposition	note
user-scope	이슈 트래커에 이슈를 등록할 때는	be50be6b5a8b3c841944940a0a8cc099fa4b10883c51a99249d98400ef231d15	policy:Git and GitHub	
user-scope	GitHub 이슈 생성 시 Assignee	df17d3bd8cee6f70792af0642c23e4a9e00e20df1c986785599f5813873f6298	policy:Git and GitHub	
user-scope	git 명령어 실행 시 `-C	4ef1744f1ae44952b3626621613ac4043248daba583292fe8f22fa8e2eb08136	policy:Git and GitHub	
user-scope	gh CLI 활성 계정 기본값은	e30eb329fdb47b3759faa342e7ae6805bf1dfaa3b0a01ea69264e62a68a93dd1	policy:Git and GitHub	
user-scope	git commit은 사용자가	bddb6bb068cdd5b2eb93c43344259eb717cb50f582dec86a2b428978f7e6bf87	policy:Git and GitHub	restated as: only when the stage instructions call for a commit
user-scope	커밋 메시지·PR 제목/본문	e4d55d484fa0130501f373583df5b55e29073a63ee02c70c3585025c86bf9808	policy:Artifacts	
user-scope	git commit 시 기억에 의존하지	b8889ae8165005ef0776caf6a80102e441d07366ce3808de3275ff3a1bb8a78f	policy:Git and GitHub	
user-scope	git commit 메시지 규칙:	c3e6180060f1e33e9800c9ef9850cc7c0047f87c36554f5c3b911bae5b8e319f	policy:Git and GitHub	the three sub-bullets are hashed with it
user-scope	사용자가 git worktree(워크트리) 생성을	a559fbef05b9989b5fd7671e3be0c2692500ff769158a9b603c1497e0cb4a51d	excluded:driver-owned	the driver creates worktrees
user-scope	PR 발행 시 항상 Assignee	911316b371f80b0a3f229b8f5483d9c67c1c06044a4c76e3c0db01886ae10811	policy:Git and GitHub	
user-scope	PR 머지는 명시적 요청 시만	d3775a21f2dd59f9d394754f44457682f6c71b3f2b6b5b2a83b411dcb2040ffd	policy:Git and GitHub	router shifts and apply stages merge
user-scope	커밋 메시지·PR/이슈 본문·PR/이슈 코멘트에 내부	abf45d3125cd839164567ca6909493fc554aff2851afc2d0cb3ebcd248442609	policy:Artifacts	
user-scope	PR 에 인라인 리뷰 코멘트를	d5111f3e83eb6cef103e25177d1a563608419d32b47b59688408e885e5fdd360	policy:Git and GitHub	
user-scope	코드 주석 및 spec/test 주석에	5b979c565c2ba741700a9ed404eb98080c7033d864134092f85a4bbd5b5b783d	policy:Artifacts	
user-scope	코드 주석 스타일은	5aee405bcbbb42fb84851cf9163c65cb005c7991ca07c322b1e46057e279cf75	policy:Code and tools	only the judge-by-rules-and-neighbours half; the memory-saving half is not a stage act
user-scope	도구 결과가 지연·공백이어도	6bec55663223216c5baf0de9d3f2b47bf77c44fdfa8cc5fe62fc6c524700c186	policy:Conduct	waiting for the next instruction is restated as: record where blocked and end the turn
user-scope	사용자에게 알림을 보낼 때는	6e5eb70062f9370407d432c76f93a1923c067713326f4eef40c04a1ecb5b0efe	excluded:superseded	replaced by the Delegation section ban on any notification
user-scope	이 파일이 사용자에게 알림 배너를	87202602dbc75c8829f5a15bd55058ee081542b1b5fd252cb18cfbf24f58a687	policy:Delegation	compressed to: no notification by any route
user-scope	다른 에이전트에게 일을 시키는 경로는	e7ff283a47e50b5f3c460a74fba42399d4154454548c7cbe8cbb739e1cce059e	policy:Delegation	Agent-tool members receive it from the harness; other agents get it written into their prompt
user-scope	자격증명은 레포·	277555db27c1384b5756eeb347999773d390531f2f1d289754e5cb54d656154c	policy:Artifacts	
workspace	# /Users/ian/dev — 작업 공간 안내	76e73a0c84d002c16515d0b655ad709eccdf86ae87bb47635396f4e2df4948ea	excluded:workspace-local	
workspace	## 이슈 트래킹 (로컬 파일)	11231724cee656b5fb239c9fd06ed90b958c0d62d3dc302f87b8b3adaf0b8622	excluded:workspace-local	
workspace	## 외부 사이트 자격 정보 (자동화용)	f987e94d7a2c6c298c0a29c6e2e81c28d7a2614b10e0fc8e1026682a4da43cc2	excluded:no-stage-login	
workspace	## 결정의 소유와 인용 (2026-08-11)	a95d702326e9495b58e7715d2833b7ef667ecf99b147694500b68e7b64c9171b	policy:Citations in documents	
memory	feedback_no_detached_background	-	policy:Code and tools	
memory	feedback_source_comments	-	policy:Artifacts	the no-memorial-comment clause
memory	feedback_prompt_language	-	repo:CLAUDE.md	
memory	feedback_version_bump_timing	-	repo:CLAUDE.md	
memory	feedback_econ_heading_scope	-	repo:CLAUDE.md	
memory	feedback_delegated_judgment_residual	-	repo:CLAUDE.md	
memory	feedback_no_standing_trackers	-	repo:CLAUDE.md	
memory	project_unattended_observation_restaging	-	repo:CLAUDE.md	
plugin	skills/_common/pipeline-sidecar.md:**A stage's turn ends only when its own terminal artifact exists	b6516f4c5ac8e1b649a20b0851abb4e791ddcf51019d21361434a40fd66d360e	policy:Ending the turn	the plugin owns this rule; the driver and the gate continue a stage that ended its turn in prose
